1722.64 ,800.68 ,1844.83 ,2215.56 ,1934.57 ,1741.43 ,784.70 ,1863.95 ,2022.49 ,1411.52 ,1915.87 ,2329.14 ,1879.36 ,1954.25 ,1722.59 ,1999.96 ,1201.99 ,1995.03 ,1853.17 ,1833.66 ,598.75 ,1493.01 ,1857.63 ,2069.68 ,223.84 ,194.00 ,1838.37 ,1401.44 ,1363.91 ,1961.56 ,1883.81 ,1962.66 ,1403.72 ,2087.88 ,22.72 ,1966.23 ,2003.80 ,2004.82 ,408.16 ,1677.87 ,1298.14 ,1993.26 ,939.29 ,1605.30 ,1424.34 ,1976.91 ,1976.91 ,1941.14 ,1770.89 ,130.20 ,1976.88 ,1468.47 ,214.88 ,331.51 ,1963.88 ,1115.62 ,881.05 ,1882.52 ,1300.45 ,1928.82 ,1830.54 ,635.78 ,126.67 ,1982.11 ,1992.53 ,1849.31 ,1865.63 ,1898.49 ,1890.47 ,1930.67 ,297.17 ,720.74 ,57.35 ,162.32 ,132.07 ,42.99 ,105.48 ,248.84 ,976.40 ,1750.90 ,1700.21 ,1901.97 ,251.31 ,44.98 ,151.07 ,-38.95 ,191.04 ,1612.20 ,23.59 ,123.50 ,705.59 ,218.45 ,121.04 ,329.50 ,198.99 ,1191.31 ,169.84 ,36.05 ,26.02 ,224.50 ,753.53 ,1055.78 ,1876.02 ,235.34 ,75.18 ,454.25 ,578.00 ,148.52 ,918.54 ,-15.42 ,12.18 ,1038.92 ,99.74 ,100.37 ,39.19 ,298.99 ,133.87 ,76.30 ,1241.14 ,78.90 ,200.32 ,677.49 ,1911.84 ,191.91 ,194.93 ,289.88 ,-29.38 ,81.57 ,180.27 ,66.77 ,190.03 ,196.88 ,68.21 ,785.77 ,69.66 ,294.28 ,1262.48 ,597.50
1999.38 ,1014.50 ,1816.29 ,2155.04 ,2085.96 ,1957.78 ,1403.96 ,1975.97 ,2079.34 ,1923.05 ,1869.32 ,2433.46 ,1834.53 ,1869.76 ,1973.65 ,1912.86 ,1998.07 ,1889.80 ,2227.40 ,2069.50 ,1493.86 ,1961.37 ,1874.83 ,2137.89 ,153.54 ,133.60 ,1958.85 ,1780.10 ,1959.03 ,2054.38 ,1861.68 ,1924.78 ,1816.62 ,2010.80 ,-33.63 ,1880.30 ,2048.47 ,2040.96 ,424.49 ,1951.82 ,1770.10 ,1978.89 ,1163.75 ,1924.26 ,2062.54 ,2004.84 ,2004.84 ,2219.26 ,1909.07 ,169.46 ,2183.97 ,2064.95 ,305.37 ,263.77 ,1911.04 ,1594.16 ,1891.19 ,1948.99 ,1667.95 ,1995.00 ,1959.77 ,1203.91 ,109.79 ,2005.04 ,1945.85 ,1931.36 ,1946.10 ,1850.25 ,1871.56 ,1884.58 ,359.69 ,712.59 ,62.98 ,101.13 ,169.74 ,65.32 ,127.58 ,311.65 ,970.36 ,1695.47 ,1868.60 ,1688.71 ,266.09 ,-13.41 ,180.05 ,-131.66 ,231.62 ,1604.17 ,35.90 ,56.08 ,400.12 ,248.75 ,86.36 ,317.41 ,201.48 ,1542.55 ,104.05 ,50.79 ,49.89 ,220.99 ,678.83 ,1343.14 ,1917.78 ,201.34 ,94.82 ,442.08 ,486.95 ,188.66 ,1325.74 ,18.56 ,32.83 ,1173.89 ,143.92 ,116.96 ,5.00 ,381.81 ,186.38 ,43.59 ,1801.97 ,104.93 ,219.67 ,621.78 ,1913.99 ,130.49 ,233.40 ,298.52 ,-108.68 ,113.15 ,207.41 ,101.81 ,197.18 ,262.33 ,98.86 ,529.77 ,41.68 ,405.78 ,1368.86 ,831.19
2171.66 ,2113.65 ,1969.17 ,2202.85 ,2309.75 ,2207.60 ,2371.39 ,2070.19 ,2311.66 ,2292.67 ,1959.47 ,2617.04 ,1889.31 ,2210.87 ,2124.39 ,2031.95 ,2219.04 ,1946.32 ,2636.95 ,2207.16 ,2038.98 ,2254.97 ,2053.57 ,2291.34 ,200.89 ,468.62 ,2252.57 ,1971.30 ,2181.88 ,2270.07 ,2101.57 ,2043.55 ,2568.44 ,2116.99 ,2240.82 ,1974.18 ,2118.28 ,2253.72 ,381.41 ,2268.08 ,2391.22 ,2177.02 ,2245.18 ,2170.07 ,2313.28 ,2044.87 ,2044.87 ,2302.15 ,2043.32 ,2154.01 ,2362.87 ,2338.90 ,1928.18 ,314.54 ,1982.50 ,2133.07 ,2494.04 ,2175.43 ,2173.14 ,2212.72 ,2071.03 ,2334.90 ,1308.71 ,2107.22 ,2053.35 ,2120.38 ,2004.52 ,2039.47 ,1979.15 ,2072.61 ,1535.40 ,1484.67 ,-29.07 ,186.54 ,953.33 ,-13.60 ,705.74 ,1179.01 ,1589.70 ,1889.72 ,1763.77 ,1699.71 ,319.11 ,-15.49 ,446.54 ,-96.01 ,37.65 ,1423.02 ,-85.42 ,57.75 ,523.21 ,1681.29 ,101.39 ,481.90 ,154.83 ,1473.94 ,441.58 ,-33.20 ,-30.52 ,1801.74 ,1664.86 ,1210.33 ,1949.66 ,126.64 ,49.26 ,660.89 ,433.34 ,306.30 ,948.70 ,-34.58 ,10.56 ,1210.98 ,105.94 ,280.38 ,-5.20 ,373.54 ,2001.83 ,-54.44 ,1045.32 ,-6.46 ,253.08 ,1069.10 ,1922.01 ,137.43 ,159.41 ,570.91 ,-89.05 ,226.05 ,932.88 ,59.48 ,205.84 ,152.91 ,35.27 ,709.94 ,75.61 ,1898.47 ,1883.56 ,1979.56
2243.07 ,1885.82 ,1975.24 ,2339.59 ,2341.93 ,2340.85 ,2529.49 ,2227.19 ,2361.52 ,2295.00 ,1937.88 ,2047.70 ,1939.80 ,2242.88 ,2194.55 ,2080.92 ,2202.30 ,1960.63 ,2416.63 ,2301.22 ,2071.00 ,2425.45 ,2112.87 ,2466.14 ,313.91 ,2100.61 ,1865.20 ,2116.59 ,2337.15 ,2287.22 ,2182.07 ,2054.01 ,2295.71 ,2099.79 ,2268.90 ,1985.18 ,2221.45 ,2314.79 ,1050.37 ,2379.96 ,1568.88 ,2142.40 ,2310.70 ,1709.18 ,2382.03 ,2185.17 ,2185.17 ,2413.11 ,2079.28 ,2194.74 ,2145.56 ,2456.38 ,2388.10 ,677.32 ,2004.81 ,2131.09 ,2507.28 ,2315.79 ,2183.52 ,2301.62 ,2241.19 ,2517.42 ,2159.11 ,2251.40 ,2107.37 ,2177.41 ,2047.27 ,2052.78 ,1983.47 ,2055.89 ,2133.83 ,2005.02 ,2441.22 ,2336.41 ,2211.96 ,2603.36 ,2121.29 ,2347.95 ,2217.50 ,1995.66 ,2493.22 ,2007.34 ,2316.33 ,2254.46 ,2151.83 ,2411.84 ,2100.95 ,2548.67 ,2343.63 ,2095.58 ,2309.03 ,2107.16 ,2385.20 ,2648.51 ,2627.38 ,2118.53 ,2034.98 ,2462.98 ,2394.74 ,2129.14 ,2046.38 ,2537.51 ,2159.95 ,2325.15 ,2202.39 ,2181.68 ,1698.97 ,2340.20 ,2424.20 ,2233.46 ,2589.87 ,2233.64 ,2364.52 ,2186.35 ,2526.08 ,2475.84 ,2117.58 ,2225.55 ,2558.98 ,2480.78 ,2661.84 ,2561.51 ,2039.95 ,2213.29 ,2665.21 ,2327.67 ,2327.76 ,2249.28 ,2155.34 ,2659.81 ,2612.75 ,2288.24 ,2128.29 ,2220.40 ,1983.76 ,2076.40 ,2017.00 ,2039.88
2258.67 ,2639.47 ,1992.80 ,2405.96 ,2429.59 ,2428.70 ,2616.90 ,2280.36 ,2463.63 ,2451.62 ,1983.13 ,2709.94 ,2068.53 ,2578.21 ,2267.36 ,2218.75 ,2325.08 ,2103.23 ,2840.19 ,2378.71 ,2175.69 ,2603.84 ,2223.07 ,2513.18 ,2679.13 ,2563.32 ,2393.75 ,2210.76 ,2437.98 ,2399.60 ,2240.65 ,2137.61 ,2760.81 ,2221.51 ,2312.75 ,2116.31 ,2268.54 ,2439.72 ,2317.90 ,2554.96 ,2510.79 ,2285.25 ,2528.38 ,2340.95 ,2504.08 ,2222.12 ,2222.12 ,2546.99 ,2112.91 ,2197.70 ,2478.16 ,2517.49 ,2518.83 ,2580.32 ,2155.18 ,2271.74 ,2596.94 ,2498.02 ,2286.00 ,2298.16 ,2211.91 ,2564.64 ,2498.62 ,2355.24 ,2223.71 ,2383.38 ,2082.25 ,2092.38 ,2039.96 ,2031.03 ,2303.62 ,2092.56 ,2456.59 ,2405.72 ,2367.50 ,2663.98 ,2270.38 ,2437.29 ,2316.55 ,2044.71 ,2493.20 ,2133.40 ,2367.24 ,2260.52 ,2055.59 ,2349.12 ,2026.02 ,2638.37 ,2434.71 ,2181.60 ,2400.13 ,2155.13 ,2241.97 ,2598.47 ,2564.34 ,2120.52 ,2134.10 ,2432.32 ,2324.59 ,2216.13 ,2083.08 ,2592.34 ,2205.64 ,2321.07 ,2238.96 ,2192.14 ,2078.49 ,2395.85 ,2494.92 ,2171.05 ,2581.68 ,2306.79 ,2508.35 ,2142.43 ,2476.33 ,2549.35 ,2192.16 ,2218.50 ,2593.63 ,2575.55 ,2689.84 ,2496.69 ,2121.98 ,2353.50 ,2769.60 ,2403.00 ,2242.94 ,2258.75 ,2177.66 ,2627.92 ,2653.69 ,2288.39 ,2060.60 ,2355.36 ,2153.25 ,2186.51 ,2044.81 ,2119.55
2742.26 ,2740.46 ,2123.76 ,2620.56 ,2549.48 ,2596.06 ,2848.68 ,2450.63 ,2739.06 ,2615.45 ,2172.33 ,2866.55 ,2366.83 ,2700.44 ,2152.34 ,2262.22 ,2069.22 ,2159.41 ,3093.78 ,2584.29 ,2168.00 ,2667.25 ,2430.14 ,2301.63 ,2784.46 ,2786.51 ,2502.56 ,2276.86 ,2651.10 ,2539.96 ,2383.40 ,2195.17 ,3058.51 ,2378.65 ,2310.68 ,2220.01 ,2417.19 ,2546.15 ,2716.29 ,2639.65 ,2669.27 ,2365.39 ,2633.42 ,2478.36 ,2639.12 ,2345.36 ,2345.36 ,2721.43 ,2281.83 ,2071.30 ,2644.95 ,2693.39 ,2767.73 ,2754.22 ,2341.23 ,2327.03 ,2805.38 ,2477.09 ,2039.84 ,2483.82 ,2300.22 ,2768.53 ,2759.26 ,2344.29 ,2262.87 ,2473.29 ,2128.25 ,2229.95 ,2181.28 ,2127.14 ,2682.05 ,2110.18 ,2757.16 ,2537.51 ,2516.45 ,2686.28 ,2459.38 ,2784.62 ,2489.94 ,2201.09 ,3157.56 ,2418.86 ,2740.62 ,2216.01 ,2394.10 ,2163.59 ,2278.40 ,3128.87 ,2555.86 ,2165.01 ,2557.71 ,2375.20 ,2280.32 ,2738.40 ,2738.85 ,2303.12 ,2261.98 ,2604.51 ,2681.20 ,2354.62 ,2233.26 ,2949.20 ,2386.27 ,2302.83 ,2468.65 ,2299.00 ,2428.01 ,2579.81 ,2867.14 ,2517.25 ,2757.40 ,2648.90 ,2684.80 ,2357.47 ,2506.73 ,2982.02 ,2271.24 ,2086.89 ,2983.84 ,2722.41 ,2854.07 ,2682.33 ,2323.45 ,2372.79 ,2878.35 ,2563.33 ,1935.16 ,2515.56 ,2431.37 ,2751.53 ,2835.21 ,2529.01 ,2443.03 ,2500.09 ,2184.66 ,2241.20 ,2232.42 ,2196.41
4052.12 ,3473.73 ,2476.41 ,3034.56 ,3657.61 ,3209.40 ,4025.90 ,2993.17 ,3893.98 ,3246.67 ,2727.75 ,5419.32 ,2759.38 ,3336.38 ,2861.71 ,2470.85 ,2394.05 ,2566.59 ,4951.71 ,3232.17 ,2433.30 ,3398.40 ,2696.25 ,3412.25 ,3220.17 ,3966.16 ,3435.30 ,2767.25 ,3461.28 ,3265.40 ,3006.86 ,2722.32 ,4738.29 ,2935.93 ,2897.96 ,2510.84 ,2713.53 ,3330.94 ,3464.78 ,3405.45 ,4434.45 ,2715.45 ,3287.04 ,3461.65 ,3620.64 ,2932.01 ,2932.01 ,3976.79 ,2629.42 ,2467.67 ,4427.89 ,3741.40 ,4293.11 ,3243.49 ,2479.53 ,2663.79 ,3754.79 ,3257.04 ,2877.62 ,2943.42 ,3147.10 ,3603.45 ,4083.47 ,2925.38 ,2580.47 ,3183.65 ,2691.54 ,2548.96 ,2537.32 ,2416.90 ,3324.55 ,2662.64 ,3425.73 ,3367.24 ,2899.92 ,3461.97 ,3094.94 ,3399.96 ,2901.79 ,2552.69 ,4684.90 ,2827.15 ,3388.40 ,2839.01 ,2719.75 ,2557.37 ,2707.96 ,4012.79 ,3281.47 ,2530.77 ,2995.18 ,2845.78 ,3117.38 ,3282.21 ,3865.13 ,3028.56 ,2757.12 ,3152.07 ,3210.82 ,2996.91 ,2725.10 ,3999.67 ,2826.18 ,2998.49 ,3065.01 ,3132.73 ,3090.78 ,3056.88 ,4088.48 ,2912.05 ,3327.27 ,3332.06 ,3579.37 ,3101.88 ,3296.21 ,3645.75 ,2529.23 ,2716.06 ,4846.48 ,3645.10 ,3611.88 ,3470.63 ,2665.71 ,2751.89 ,4295.73 ,3203.10 ,2672.87 ,3152.16 ,3044.44 ,3444.67 ,3735.89 ,2953.97 ,2930.96 ,2849.93 ,3038.36 ,2644.45 ,2444.76 ,2481.39
4330.52 ,5230.24 ,3218.17 ,4075.68 ,4494.33 ,3408.64 ,4359.49 ,3494.49 ,4032.79 ,3711.42 ,3181.14 ,5862.18 ,3364.36 ,4690.02 ,3766.72 ,3451.35 ,4133.06 ,3189.25 ,5307.74 ,3690.07 ,3285.72 ,4082.95 ,3248.72 ,4385.36 ,5272.50 ,5038.43 ,4071.06 ,3455.55 ,3998.53 ,3809.72 ,3305.54 ,3371.50 ,5045.58 ,3328.04 ,4074.87 ,3148.24 ,3808.44 ,4165.48 ,5015.38 ,3872.32 ,4700.31 ,3326.13 ,4100.94 ,4189.05 ,4304.47 ,3528.36 ,3528.36 ,4411.71 ,3375.60 ,3647.56 ,5359.64 ,4326.68 ,4947.68 ,4964.00 ,3193.01 ,3501.82 ,5147.60 ,4167.58 ,4012.71 ,3502.50 ,3530.57 ,4196.02 ,4823.29 ,3756.66 ,3485.72 ,3560.17 ,3782.77 ,3315.18 ,3017.39 ,3062.02 ,3740.04 ,2778.37 ,3712.99 ,4636.65 ,3162.08 ,4389.13 ,3446.14 ,3765.31 ,3652.98 ,2774.01 ,5132.06 ,3268.34 ,4406.16 ,4358.11 ,3031.35 ,4108.45 ,2994.70 ,4583.02 ,3733.79 ,4065.73 ,3799.26 ,3240.67 ,3933.46 ,4398.60 ,4911.08 ,4049.82 ,3740.99 ,3818.79 ,3617.15 ,3199.53 ,2794.71 ,4581.95 ,3251.31 ,4717.91 ,3275.60 ,4065.04 ,4212.20 ,3578.22 ,4933.90 ,3238.72 ,4239.13 ,3785.23 ,4602.77 ,3280.52 ,4374.69 ,4319.03 ,2736.98 ,4570.59 ,5667.25 ,4658.05 ,4814.65 ,4433.63 ,3388.34 ,4018.17 ,5404.60 ,4478.30 ,4314.93 ,3379.45 ,3833.59 ,4207.05 ,4709.40 ,3734.95 ,3133.81 ,3869.15 ,4649.36 ,2845.07 ,3037.78 ,2666.79
5290.73 ,6458.72 ,4341.71 ,4700.88 ,5600.38 ,4549.40 ,5602.86 ,4832.16 ,5178.72 ,5003.72 ,4305.29 ,6532.53 ,4333.36 ,6073.01 ,5147.16 ,4296.23 ,5380.46 ,4768.45 ,6064.59 ,4852.13 ,4501.99 ,5170.97 ,4885.86 ,5896.38 ,6376.83 ,5950.34 ,6083.04 ,4232.03 ,5037.02 ,4738.59 ,4476.21 ,3811.54 ,5883.34 ,4580.78 ,5153.46 ,4666.44 ,4309.36 ,5918.78 ,5957.76 ,5154.51 ,5546.17 ,4786.44 ,5241.89 ,5084.27 ,5347.95 ,4405.64 ,4405.64 ,5365.36 ,5210.00 ,5180.16 ,5219.11 ,5466.30 ,6073.45 ,5897.95 ,4796.70 ,4475.38 ,6165.45 ,5626.60 ,5269.25 ,4751.63 ,4867.26 ,5376.92 ,5940.74 ,5055.76 ,4212.69 ,4500.95 ,5008.65 ,4930.88 ,5045.38 ,4823.91 ,5561.48 ,4190.82 ,5645.45 ,5391.34 ,5404.67 ,6386.86 ,6257.38 ,5539.26 ,4981.98 ,4088.73 ,5623.45 ,4451.95 ,6863.37 ,5300.68 ,4859.39 ,5637.23 ,5288.41 ,5772.78 ,6521.15 ,6326.71 ,4857.60 ,5280.28 ,4918.76 ,6444.90 ,6307.62 ,5568.82 ,5748.37 ,6047.39 ,5855.65 ,5241.09 ,4088.86 ,5359.83 ,5356.39 ,5847.57 ,5087.78 ,4933.17 ,5560.30 ,5567.86 ,5195.45 ,5539.02 ,6063.67 ,5193.98 ,6902.56 ,5282.96 ,5644.41 ,5852.43 ,4469.48 ,5409.80 ,5343.27 ,6812.55 ,6377.84 ,6429.53 ,5681.24 ,5128.10 ,7176.72 ,6806.96 ,5523.22 ,5822.53 ,5745.80 ,6345.74 ,6305.53 ,5935.39 ,5218.40 ,5343.90 ,5592.70 ,4586.69 ,4903.76 ,4437.67
8023.54 ,7049.27 ,6826.57 ,7104.54 ,7281.90 ,8276.93 ,7207.94 ,8267.36 ,8183.13 ,7767.47 ,6743.90 ,7518.58 ,6375.83 ,8300.01 ,7511.45 ,7424.34 ,6914.22 ,7465.03 ,7556.26 ,7860.32 ,7641.49 ,7610.92 ,8357.65 ,7849.26 ,7075.27 ,7093.21 ,8037.58 ,7329.98 ,7401.23 ,7602.18 ,7764.32 ,6825.70 ,7444.01 ,7465.11 ,7849.59 ,7637.43 ,7724.92 ,7794.87 ,6519.00 ,8080.28 ,7123.39 ,7888.95 ,7606.47 ,7155.22 ,8367.80 ,7348.07 ,7348.07 ,7062.26 ,8209.17 ,8108.05 ,6894.09 ,8029.01 ,7027.90 ,6902.52 ,7516.33 ,6985.94 ,8108.68 ,8175.64 ,7384.57 ,8161.29 ,7821.76 ,7263.97 ,6617.63 ,7818.20 ,7394.08 ,7838.41 ,7907.25 ,7760.51 ,7345.15 ,7761.11 ,7420.70 ,6120.47 ,7659.62 ,8102.19 ,7364.93 ,7845.24 ,8107.03 ,7544.60 ,7289.22 ,5690.06 ,7321.81 ,6040.71 ,8332.60 ,8061.34 ,6921.46 ,7793.82 ,7018.18 ,7386.99 ,8032.15 ,8122.64 ,7502.76 ,7576.43 ,7838.18 ,7534.29 ,7449.05 ,7857.74 ,7872.91 ,7463.72 ,7864.44 ,7568.05 ,5891.85 ,7267.37 ,6905.67 ,8171.22 ,6944.52 ,7783.58 ,6489.83 ,7436.43 ,7450.01 ,7506.43 ,7026.60 ,6735.27 ,8328.71 ,7228.21 ,7707.04 ,7207.81 ,7088.19 ,7969.74 ,6666.95 ,8298.27 ,7134.13 ,7460.43 ,7432.26 ,8210.60 ,8456.92 ,8444.03 ,7716.07 ,8122.67 ,7532.48 ,7379.80 ,7617.08 ,7612.94 ,7500.00 ,7672.70 ,8235.00 ,6787.00 ,6580.67 ,6431.53
